asin,is_sponsored,brand,name,url,thumbnail,rating,total_ratings,price,list_price,price_per_unit,typical_price,currency,currency_symbol,offer_info,is_prime,shipping_info,retailer_badge,seller_info,more_buying_choices,past_month_bought
B0DB218W5F,False,,"Lefant M210 Robotic Vacuums, 120 Mins Runtime, Powerful Suction, Small Body, Low Noise, Scheduled Cleaning, Automatic Self-Charging, Wi-Fi/App/Voice Control, Good for Pet Hair and Hard Floor, Black ",https://www.amazon.com/Lefant-Powerful-Scheduled-Automatic-Self-Charging/dp/B0DB218W5F,https://m.media-amazon.com/images/I/61pneNE2jOL._AC_UY218_.jpg,,1187.0,199.99,,,,USD,$,50% off coupon appliedSave 50%with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '50% off coupon appliedSave 50%with coupon']",,,,200+
B0D9W3B622,False,,"Robot Vacuum and Mop Combo, 2 in 1 Mopping Robot Vacuum Cleaner Compatible with WiFi/App, Robotic Vacuum Up to 2300Pa Suction, Self-Charging, Slim, Ideal for Hard Floor, Pet Hair, Low Pile Carpet ",https://www.amazon.com/Mopping-Cleaner-Compatible-Robotic-Self-Charging/dp/B0D9W3B622,https://m.media-amazon.com/images/I/71qokF3ILdL._AC_UY218_.jpg,,3685.0,159.99,,,289.99,USD,$,$20.00 off coupon appliedSave $20.00with coupon,False,"['FREE deliveryMon, Nov 18', '$20.00 off coupon appliedSave $20.00with coupon']",Limited time deal,,,1K+
B09T4YZGQR,False,,"Shark AI Ultra Voice Control Robot Vacuum with Matrix Clean Navigation, Home Mapping, 60-Day Capacity, Self-Empty Base for Homes with Pets, Carpet & Hard Floors (Silver/Black) ",https://www.amazon.com/Shark-AV2511AE-Self-Empty-Capacity-Navigation/dp/B09T4YZGQR,https://m.media-amazon.com/images/I/61yQ2hur-PL._AC_UY218_.jpg,,32483.0,437.99,,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",,,"{'heading': 'More Buying Choices', 'offer_text': '$122.00(17+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B09T4YZGQR/ref=sr_1_13_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-13'}",400+
B0D7L1LG1Q,False,,"Robot Vacuum Cleaner with 4500Pa Strong Suction, 3 in 1 Robot Vacuum and Mop, Carpet Auto-Boost, Self-Charging, 2.9”Slim Design, Remote/App/Alexa Control, Ideal for Pet Hair/Carpet/Hard Floor ",https://www.amazon.com/Airzeen-Cleaner-Suction-Auto-Boost-Self-Charging/dp/B0D7L1LG1Q,https://m.media-amazon.com/images/I/71ktQMmG8zL._AC_UY218_.jpg,,49.0,209.99,,,,USD,$,$60.00 off coupon appliedSave $60.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$60.00 off coupon appliedSave $60.00with coupon']",,,"{'heading': 'More Buying Choices', 'offer_text': '$207.89(3 used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0D7L1LG1Q/ref=sr_1_14_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-14'}",50+
B09H8CWFNK,False,,"Shark AV2501S AI Ultra Robot Vacuum, with Matrix Clean, Home Mapping, 30-Day Capacity HEPA Bagless Self Empty Base, Perfect for Pet Hair, Wifi, Dark Grey ",https://www.amazon.com/Shark-AV2501S-Self-Empty-Navigation-UltraClean/dp/B09H8CWFNK,https://m.media-amazon.com/images/I/71xa7jk7SJL._AC_UY218_.jpg,,8436.0,356.31,,,382.0,USD,$,,False,"['FREE deliveryNov 13 - 14', 'Or fastest deliveryTomorrow, Nov 12']",,,"{'heading': 'More Buying Choices', 'offer_text': '$204.17(29+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B09H8CWFNK/ref=sr_1_15_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-15'}",4K+
B0CNL2KCVR,False,,"iRobot Roomba i3+ EVO (3554) Robot Vacuum - Self-Empty for Up to 60 Days, Clean by Room with Smart Mapping, Compatible with Alexa, Personalized Cleaning ",https://www.amazon.com/iRobot-Roomba-EVO-Robot-Vacuum/dp/B0CNL2KCVR,https://m.media-amazon.com/images/I/71tScKweUsL._AC_UY218_.jpg,,13937.0,349.0,,,380.0,USD,$,,False,"['$24.82 deliveryNov 15 - 19', 'Or fastest deliveryWed, Nov 13', 'Only 15 left in stock - order soon.']",,,"{'heading': 'More Buying Choices', 'offer_text': '$294.65(11+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0CNL2KCVR/ref=sr_1_16_olp?keywords=robot+vacuum+cleaner&crid=LJT4S0QLMMLH&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.-wiFIdEuAulQMCR6CzsAnkmVqHSzaTTI98JU9zwrBvmcmJLB7BfYnlnf1jF1AFHQlK6pVi2Dc2hb7AkwOt_SW0a_iF5r_1CXlW66Z777FXHq989Za_UXstzjO6tUGFm5n-hAacRvea8eOUByHB3eIkwCjKDWVrtQkG9a_sNkRdHx0i0VumxGQO7CF4UwPsrN-DNczVUsioPDvRYRG1WScDoaMFbtS99c2d28R9ijSa8.UfSSPG2TzdkASQ4d1joBRj9hBYxNM8bpcg3bh4afu54&qid=1731326159&sr=8-16'}",3K+
B0D7MZ5PNN,False,,"Robot Vacuum and Mop Cleaner with 4500Pa Suction, Advanced 3D Obstacle Avoidance, Next-Generation Smart APP & Voice Control Robotic Vacuum, Automatic Aspirdora for Home Hard Floor, Pet Hair ",https://www.amazon.com/VIPSUN-Avoidance-Next-Generation-Automatic-Aspirdora/dp/B0D7MZ5PNN,https://m.media-amazon.com/images/I/61itsOLfU0L._AC_UY218_.jpg,,41.0,119.99,,,149.99,USD,$,$10.00 off coupon appliedSave $10.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$10.00 off coupon appliedSave $10.00with coupon']",Limited time deal,,,100+
B09H8CWFNK,False,,"Shark AV2501S AI Ultra Robot Vacuum, with Matrix Clean, Home Mapping, 30-Day Capacity HEPA Bagless Self Empty Base, Perfect for Pet Hair, Wifi, Dark Grey ",https://www.amazon.com/Shark-AV2501S-Self-Empty-Navigation-UltraClean/dp/B09H8CWFNK,https://m.media-amazon.com/images/I/71xa7jk7SJL._AC_UY218_.jpg,,8436.0,356.31,,,382.0,USD,$,,False,"['FREE deliveryNov 13 - 14', 'Or fastest deliveryTomorrow, Nov 12']",,,"{'heading': 'More Buying Choices', 'offer_text': '$204.17(29+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B09H8CWFNK/ref=sr_1_18_olp?keywords=robot+vacuum+cleaner&crid=LADB0CX3BQWZ&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.5orqcgNFuRro_I-1ZY_l7cyBKgZuGkqyzmaJxm7HVjaCEuXUMHEALLs2VRBZI4vpjG3hG_ZhXOdYvM7stFO_i6ywcJzQWvC9FGbjLDp4zBFJYg2zWSj7KOPF1E9QMGa906PlDVReXg2W2665QNLwSRDDIOWphHYpH03lNI2CvqsHrC4JlEyOmdBBZMx5cEyff1OwOkUEL6oK3ogmdcbq7Qou7eetWvo_HUh3PpqidvU._Ah8UJT_fK7je1qFRccDkDCFES5_8nnGtxB5b_IGFlg&qid=1731326163&sr=8-18'}",4K+
B0CQ4PLMJP,False,,"HONITURE Robot Vacuum and Mop Combo, 4000pa Strong Suction, G20 Robot Vacuum Cleaner with Self-Charging, 150Mins Max, App&Remote&Voice Control, Super-Slim, Ideal for Pet Hair ",https://www.amazon.com/HONITURE-Suction-G20-Self-Charging-Super-Slim/dp/B0CQ4PLMJP,https://m.media-amazon.com/images/I/71YUtjPY-iL._AC_UY218_.jpg,,1210.0,189.98,199.18,,,USD,$,$55.00 off coupon appliedSave $55.00with coupon,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14', '$55.00 off coupon appliedSave $55.00with coupon']",,,,600+
B0CHL2FQBW,False,,"Shark RV2820AE Detect Pro Self-Empty Robot Vacuum with Bagless, 60-day Capacity HEPA Base, 3 Detect & React Technologies, Auto Deep-Clean on Carpets and Hardfloors, NeverStuck Tech, Wi-Fi Black/Bronze ",https://www.amazon.com/Shark-RV2820AE-Self-Empty-Technologies-Deep-Clean/dp/B0CHL2FQBW,https://m.media-amazon.com/images/I/712r6GziTzL._AC_UY218_.jpg,,148.0,349.99,599.99,,,USD,$,,False,"['FREE deliverySat, Nov 16', 'Or fastest deliveryThu, Nov 14']",Limited time deal,,"{'heading': 'More Buying Choices', 'offer_text': '$316.79(6+ used & new offers)', 'offer_link': 'https://www.amazon.com/gp/offer-listing/B0CHL2FQBW/ref=sr_1_20_olp?keywords=robot+vacuum+cleaner&crid=LADB0CX3BQWZ&sprefix=ro%2Caps%2C292&dib_tag=se&dib=eyJ2IjoiMSJ9.5orqcgNFuRro_I-1ZY_l7cyBKgZuGkqyzmaJxm7HVjaCEuXUMHEALLs2VRBZI4vpjG3hG_ZhXOdYvM7stFO_i6ywcJzQWvC9FGbjLDp4zBFJYg2zWSj7KOPF1E9QMGa906PlDVReXg2W2665QNLwSRDDIOWphHYpH03lNI2CvqsHrC4JlEyOmdBBZMx5cEyff1OwOkUEL6oK3ogmdcbq7Qou7eetWvo_HUh3PpqidvU._Ah8UJT_fK7je1qFRccDkDCFES5_8nnGtxB5b_IGFlg&qid=1731326163&sr=8-20'}",300+
