name,url,thumbnail,rating,total_ratings,price,currency,currency_symbol,is_sponsored,past_month_bought
"Robot Vacuum and Mop Combo: 2-in-1 Robot Vacuum Cleaner 2500Pa Strong Suction & Tangle-Free & APP/Alexa Control & Schedule Cleaning, Self-Charging Robotic Vacuum for Pet Hair, Hard Floor, Carpet ",https://www.amazon.com/AZQQ-Robot-Vacuum-Combo-Self-Charging/dp/B0D9G7RT9N,https://m.media-amazon.com/images/I/71AzeRoDXBL._AC_UY218_.jpg,4.8,41,125.99,USD,$,False,400+
"Robot Vacuum and Mop Combo - WiFi/Alexa/App Scheduling, Smart Robotic Vacuum Cleaner, Ultra-Slim & Quiet, Tangle-Free, Auto Recharge, Ideal for Pet-Friendly Homes ",https://www.amazon.com/Kilgone-Robot-Vacuum-Mop-Combo/dp/B0DB5P8RLS,https://m.media-amazon.com/images/I/71Fd1ONabkL._AC_UY218_.jpg,4.3,405,139.99,USD,$,False,1K+
"Upgraded Version Robot Vacuum Cleaner, 3500Pa Super Thin Robotic Vacuum, 120Mins Max, Tangle Free, Automatic,Pet Hair Robot Vacuum for Floor, Low Carpet,Black ",https://www.amazon.com/HiKiNS-Upgraded-Version-Cleaner-Automatic/dp/B0D5CTW216,https://m.media-amazon.com/images/I/812AZjG2pYL._AC_UY218_.jpg,5.0,5,89.99,USD,$,False,200+
"iRobot Roomba 692 Robot Vacuum - Wi-Fi Connectivity, Personalized Cleaning Recommendations, Works with Alexa, Good for Pet Hair, Carpets, Hard Floors, Self-Charging ",https://www.amazon.com/iRobot-Vacuum-Wi-Fi-Connectivity-Self-Charging-Charcoal/dp/B085D4MFS8,https://m.media-amazon.com/images/I/61RNw+-A3ZL._AC_UY218_.jpg,4.2,30049,245.0,USD,$,False,600+
"roborock Q5 Max+ Robot Vacuum with Self-Empty Dock, Upgraded from Q5+, 5500 Pa Suction, DuoRoller Brush, Hands-Free Cleaning for up to 7 Weeks, PreciSense LiDAR Navigation, App & Voice Control ",https://www.amazon.com/roborock-Q5-Max-Self-Empty-Hands-Free/dp/B0CWQP4Y4R,https://m.media-amazon.com/images/I/61yYis0jtgL._AC_UY218_.jpg,4.2,2276,449.99,USD,$,False,2K+
"Robot Vacuum and Mop Cleaner with 4500Pa Suction, Advanced 3D Obstacle Avoidance, Next-Generation Smart APP & Voice Control Robotic Vacuum, Automatic Aspirdora for Home Hard Floor, Pet Hair ",https://www.amazon.com/VIPSUN-Avoidance-Next-Generation-Automatic-Aspirdora/dp/B0D3HPDH7G,https://m.media-amazon.com/images/I/61itsOLfU0L._AC_UY218_.jpg,4.5,201,129.99,USD,$,False,1K+
"Shark Matrix Plus 2in1 Robot Vacuum & Mop with Sonic Mopping, Matrix Clean, Home Mapping, HEPA Bagless Self Empty Base, CleanEdge, for Pet Hair, Wifi, Black/Gold (AV2610WA) ",https://www.amazon.com/Shark-Mopping-CleanEdge-Technology-AV2610WA/dp/B0B89C8H4Q,https://m.media-amazon.com/images/I/81Fq-hM1ZAL._AC_UY218_.jpg,4.1,1697,349.99,USD,$,False,1K+
"Robot Vacuum, 2 in 1 Robot Vacuum and Mop Combo with APP, Voice and Remote Control, Robot Vacuum Cleaner Perfect for Pet Hair, Hard-Floor and Carpet ",https://www.amazon.com/ZC-WAS-Control-Cleaner-Hard-Floor/dp/B0CQLN9XHQ,https://m.media-amazon.com/images/I/717HyYprpRL._AC_UY218_.jpg,4.7,246,125.99,USD,$,False,700+
"Robot Vacuum and Mop,LiDAR Navigation Smart Mapping Robotic Vacuum Cleaner with 9000Pa Max Suction，200 Min Runtime，Auto Recharge，Customized Cleaning，Perfect for Pet Hair, Carpet, Hard Floor ",https://www.amazon.com/Enboya-DL30-Pro-11000PA-Vacuum/dp/B0CW9KH68N,https://m.media-amazon.com/images/I/71qfPF-iOzL._AC_UY218_.jpg,5.0,28,219.99,USD,$,False,50+
"Shark RV2310 Matrix Robot Vacuum with Self-Cleaning Brushroll for Pet Hair, No Spots Missed on Carpets and Hard Floors, Precision Home Mapping, Wi-Fi Black/Silver, 0.5 Quarts ",https://www.amazon.com/Shark-RV2310-Self-Cleaning-Brushroll-Precision/dp/B0BX1LJ7SK,https://m.media-amazon.com/images/I/719wVbhmWmL._AC_UY218_.jpg,4.2,6654,288.97,USD,$,False,100+
